Longo Doggo runtime room data (GeneralInfo.RoomOrder order; instances in stored creation order)
===================================================================
Rooms in runtime order: 11

RUNTIME ROOM 0: rm_title_screen  size=304x208
  id=100132 oBox at (160,176) scale=(1,1) layerDepth=0
  id=100133 oBox at (176,160) scale=(1,1) layerDepth=0
  id=100134 oBlock at (224,160) scale=(5,1) layerDepth=0
  id=100135 oBox at (160,160) scale=(1,1) layerDepth=0
  id=100136 oBlock at (192,160) scale=(1,1) layerDepth=0
  id=100137 oBlock at (256,48) scale=(1,1) layerDepth=0
  id=100138 oBlock at (32,112) scale=(1,1) layerDepth=0
  id=100139 oApple at (192,176) scale=(1,1) layerDepth=0
  id=100140 oApple at (272,192) scale=(1,1) layerDepth=0
  id=100141 oApple at (240,192) scale=(1,1) layerDepth=0
  id=100142 oBlock at (144,144) scale=(1,1) layerDepth=0
  id=100143 oBlock at (128,176) scale=(1,1) layerDepth=0
  id=100144 oDoor at (128,192) scale=(1,1) layerDepth=0
  id=100145 oApple at (256,176) scale=(1,1) layerDepth=0
  id=100146 oApple at (208,192) scale=(1,1) layerDepth=0
  id=100147 oApple at (144,192) scale=(1,1) layerDepth=0
  id=100148 oApple at (208,176) scale=(1,1) layerDepth=0
  id=100149 oSkull at (192,192) scale=(1,1) layerDepth=0
  id=100150 oSkull at (176,192) scale=(1,1) layerDepth=0
  id=100151 oApple at (224,192) scale=(1,1) layerDepth=0
  id=100152 oBlock at (96,32) scale=(1,1) layerDepth=0
  id=100083 oFlower at (280,80) scale=(1,1) layerDepth=-200
  id=100084 oFlower at (16,24) scale=(1,1) layerDepth=-200
  id=100085 oFlower at (56,152) scale=(1,1) layerDepth=-200
  id=100086 oFlower at (112,184) scale=(1,1) layerDepth=-200
  id=100087 oFlower at (176,72) scale=(1,1) layerDepth=-200
  id=100088 oFlower at (256,112) scale=(1,1) layerDepth=-200
  id=100089 oTutorial at (488,72) scale=(1,1) layerDepth=-200
  id=100153 oApple at (344,136) scale=(1,1) layerDepth=0

RUNTIME ROOM 9: rm_editor  size=304x208
  id=100082 oFlower at (0,224) scale=(1,1) layerDepth=-54
  id=100081 oMouse at (128,96) scale=(1,1) layerDepth=-400

RUNTIME ROOM 10: rm_levelbase  size=304x208
  id=100161 oFlower at (0,224) scale=(1,1) layerDepth=100
  id=100156 oDog at (24,88) scale=(1,1) layerDepth=0
  id=100157 oBlock at (304,-16) scale=(1,15) layerDepth=0
  id=100158 oBlock at (-16,-16) scale=(21,1) layerDepth=0
  id=100159 oBlock at (-16,208) scale=(21,1) layerDepth=0
  id=100160 oBlock at (-16,-16) scale=(1,15) layerDepth=0
  id=100162 oShadows at (0,0) scale=(1,1) layerDepth=300
